marca,modelo,año,kilometraje_km,combustible,potencia_cv,transmision,precio_eur,tipo_venta,etiqueta_ambiental
Opel,Opel Corsa,2022,47707.0,Diésel,102.0,Manual,15700,Usado,C
Peugeot,Peugeot Rifter,2019,57194.0,Diésel,130.0,Automática,24900,Usado,C
Renault,Renault Kadjar,2017,66428.0,Diésel,110.0,Manual,17800,Usado,C
Dacia,Dacia Sandero,2016,48430.0,Gasolina,75.0,Manual,9300,Usado,C
Nissan,Nissan QASHQAI,2020,72209.0,Gasolina,160.0,Automática,21500,Usado,C
Bmw,BMW X2,2018,123979.0,Diésel,150.0,Automática,20900,Usado,C
Kia,KIA Stonic,2018,125737.0,Diésel,110.0,Manual,15690,Usado,C
Kia,KIA Stonic,2019,130012.0,Gasolina,100.0,Manual,13500,Usado,C
Volkswagen,Volkswagen T-Cross,2020,27769.0,Gasolina,150.0,Automática,23800,Usado,C
Land Rover,Land Rover Range Rover Evoque,2019,75212.0,Híbrido,200.0,Automática,37900,Usado,ECO
Kia,KIA Ceed,2020,87537.0,Gasolina,100.0,Manual,14450,Usado,C
Skoda,Skoda Octavia,2020,53475.0,Híbrido Enchufable,204.0,Automática,26990,Usado,ECO
Bmw,BMW X1,2018,71790.0,Diésel,190.0,Automática,27800,Usado,C
Hyundai,Hyundai Tucson,2018,132777.0,Diésel,141.0,Automática,20900,Usado,C
Mercedes,Mercedes Clase GLC,2019,144738.0,Diésel,170.0,Automática,34300,Usado,C
Ford,Ford EcoSport,2018,88534.0,Gasolina,140.0,Manual,14990,Usado,C
Renault,Renault Kadjar,2019,57969.0,Diésel,115.0,Manual,19250,Usado,C
Opel,Opel Corsa,2017,119746.0,Gasolina,90.0,Manual,9750,Usado,C
Volkswagen,Volkswagen Tiguan,2019,44720.0,Gasolina,130.0,Manual,23900,Usado,C
Seat,Seat León,2015,62090.0,Gasolina,110.0,Manual,12300,Usado,C
Dacia,Dacia Duster,2021,22713.0,Glp,100.0,Manual,15490,Usado,ECO
Opel,Opel Crossland X,2018,60025.0,Gasolina,130.0,Manual,12990,Usado,C
Kia,KIA Ceed,2013,116528.0,Diésel,90.0,Manual,8990,Usado,B
Bmw,BMW Serie 1,2019,84775.0,Diésel,150.0,Manual,24990,Usado,C
Seat,Seat Ateca,2018,80943.0,Diésel,115.0,Manual,21490,Usado,C
Volkswagen,Volkswagen Golf,2016,94367.0,Gasolina,125.0,Automática,16500,Usado,C
Audi,Audi A3,2018,90695.0,Diésel,116.0,Automática,18200,Usado,C
Nissan,Nissan QASHQAI,2022,36017.0,Híbrido,158.0,Automática,21652,Usado,ECO
Mazda,Mazda CX-30,2020,61031.0,Gasolina,122.0,Automática,22790,Usado,C
Hyundai,Hyundai i10,2020,57328.0,Gasolina,84.0,Automática,15200,Usado,C
Dacia,Dacia Duster,2020,70586.0,Gasolina,130.0,Manual,16990,Usado,C
