marca,modelo,año,kilometraje_km,potencia_cv,combustible,transmision,etiqueta_ambiental,tipo_venta,precio_eur,provincia,url,antiguedad,km_por_año,fecha_scraping
Tesla,Model S 100D 4WD,2017,97000,525,Eléctrico,Automática,Sin etiqueta,Usado,29900.0,Madrid,https://www.coches.net/tesla-model-s-100d-4wd-5p-electrico-hibrido-2017-en-madrid-55526134-covo.aspx,9,10778,2026-05-08
Audi,A4 Avant S line 35 TFSI S tronic,2018,68162,150,Gasolina,Automática,C,Usado,26990.0,Las Palmas,https://www.coches.net/audi-a4-avant-s-line-35-tfsi-110kw-s-tronic-5p-gasolina-2019-en-las-palmas-59067935-covo.aspx,8,8520,2026-05-08
Audi,A1 Sportback Adrenal Black 30TFSI S tr,2024,22400,110,Gasolina,Manual,C,Usado,26600.0,Gipuzkoa,https://www.coches.net/audi-a1-sportback-adrenal-black-30tfsi-81kw-s-tr-5p-gasolina-2024-en-guipuzcoa-59078357-covo.aspx,2,11200,2026-05-08
Audi,A6 RS 6 Avant TFSI quattro,2022,46909,600,Gasolina,Manual,C,Usado,109990.0,Las Palmas,https://www.coches.net/audi-a6-rs-6-avant-tfsi-quattro-5p-gasolina-2022-en-las-palmas-59119602-covo.aspx,4,11727,2026-05-08
Fiat,500C Dolcevita 1.0 Hybrid 70 CV,2021,90576,70,Híbrido,Manual,ECO,Usado,10990.0,Las Palmas,https://www.coches.net/fiat-500c-dolcevita-10-hybrid-51kw-70-cv-2p-electrico-hibrido-2021-en-las-palmas-59175561-covo.aspx,5,18115,2026-05-08
Kia,XCeed 1.6 GDi PHEV eDrive,2022,11420,141,Híbrido Enchufable,Automática,0_EMISIONES,Usado,20510.0,Sevilla,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-edrive-5p-electrico-hibrido-2022-en-sevilla-59612247-covo.aspx,4,2855,2026-05-08
Jeep,Wrangler 2.0 Sahara 8ATX E6D,2023,64000,381,Híbrido Enchufable,Automática,0_EMISIONES,Usado,46990.0,Las Palmas,https://www.coches.net/jeep-wrangler-4p-20-380cv-sahara-8atx-e6d-5p-electrico-hibrido-2023-en-las-palmas-59904363-covo.aspx,3,21333,2026-05-08
Bmw,Serie 3 318d Auto.Touring,2024,26335,150,Híbrido,Manual,ECO,Usado,39900.0,Toledo,https://www.coches.net/bmw-serie-3-318d-autotouring-5p-electrico-hibrido-2024-en-toledo-60027373-covo.aspx,2,13168,2026-05-08
Kia,Sportage 1.6 TGDi PHEV Drive 4x4,2024,13450,265,Híbrido Enchufable,Manual,0_EMISIONES,Usado,32790.0,Sevilla,https://www.coches.net/kia-sportage-16-tgdi-phev-198kw-265cv-drive-4x4-5p-electrico-hibrido-2024-en-sevilla-60142811-covo.aspx,2,6725,2026-05-08
Kia,Sportage 1.6 TGDi HEV Drive 4x2,2023,46441,230,Híbrido,Manual,ECO,Usado,28990.0,Sevilla,https://www.coches.net/kia-sportage-16-tgdi-hev-171kw-230cv-drive-4x2-5p-electrico-hibrido-2024-en-sevilla-60714309-covo.aspx,3,15480,2026-05-08
Kia,Sportage 1.6 TGDi MHEV Tech 4x2,2024,10493,150,Híbrido,Manual,ECO,Usado,28500.0,Sevilla,https://www.coches.net/kia-sportage-16-tgdi-110kw-150cv-mhev-tech-4x2-5p-electrico-hibrido-2024-en-sevilla-60714313-covo.aspx,2,5246,2026-05-08
Audi,A1 citycarver 30 TFSI S tronic,2021,21700,110,Gasolina,Automática,C,Usado,24200.0,Gipuzkoa,https://www.coches.net/audi-a1-citycarver-30-tfsi-81kw-110cv-s-tronic-5p-gasolina-2021-en-guipuzcoa-60993628-covo.aspx,5,4340,2026-05-08
