marca,modelo,año,kilometraje_km,combustible,potencia_cv,transmision,precio_eur,tipo_venta,etiqueta_ambiental
Seat,Ibiza,2016,78999,Gasolina,75,Manual,8761,Usado,eco
Seat,Ibiza,2018,55253,Diesel,90,Manual,10380,Usado,b
Seat,Ibiza,2025,11759,Gasolina,116,Manual,17900,Usado,eco
Seat,Ibiza,2018,142757,Gasolina,90,Manual,9237,Usado,eco
Seat,Ibiza,2019,99975,Gasolina,95,Manual,8990,Usado,eco
Seat,Ibiza,2021,70956,Gasolina,105,Manual,12817,Usado,eco
Seat,Ibiza,2014,138446,Diesel,105,Manual,6690,Usado,b
Seat,Ibiza,2021,90657,Gasolina,111,Manual,11010,Usado,eco
Seat,Ibiza,2015,111894,Diesel,90,Manual,7237,Usado,b
Seat,Ibiza,2025,19357,Gasolina,116,Manual,15700,Usado,eco
Seat,Ibiza,2025,18453,Gasolina,116,Manual,15900,Usado,eco
Seat,Ibiza,2023,51318,Gasolina,110,Manual,14046,Usado,eco
Seat,Ibiza,2017,66000,Gasolina,95,Manual,10490,Usado,eco
Seat,Ibiza,2023,110761,Gasolina,80,Manual,11790,Usado,eco
Seat,Ibiza,2019,205000,Diesel,94,Manual,9950,Usado,b
Seat,Ibiza,2017,69452,Gasolina,110,Automatico,13390,Usado,eco
Seat,Ibiza,2021,84211,Gasolina,105,Manual,12272,Usado,eco
Seat,Ibiza,2021,106760,Gasolina,111,Manual,11910,Usado,eco
Seat,Ibiza,2024,33686,Gasolina,116,Manual,15490,Usado,eco
Seat,Ibiza,2024,36647,Gasolina,80,Manual,12590,Usado,eco
Seat,Ibiza,2021,62773,Gasolina,110,Manual,12990,Usado,eco
Seat,Ibiza,2022,49940,Gasolina,110,Manual,14900,Usado,eco
Seat,Ibiza,2025,22000,Gasolina,116,Manual,17900,Usado,eco
Seat,Ibiza,2025,17537,Gasolina,116,Manual,17900,Usado,eco
Seat,Ibiza,2019,99975,Gasolina,95,Manual,8990,Usado,eco
Seat,Ibiza,2019,126000,Gasolina,80,Manual,8290,Usado,eco
Seat,Ibiza,2025,30000,Gasolina,116,Manual,16900,Usado,eco
Seat,Ibiza,2025,6000,Gasolina,80,Manual,13200,Usado,eco
Seat,Ibiza,2014,55559,Diesel,105,Manual,9428,Usado,b
Seat,Ibiza,2024,51465,Gasolina,116,Manual,15137,Usado,eco
